n_no kokgi_v 閩南語詞目
392 國慶鳥 山後鳥
393 也是 也是
393 還是 也是
394 才是 才是
395 大前天 大昨日
396 正室 大某
396 嫡妻 大某
396 髮妻 大某
397 山洞 山洞
398 三牲 三牲
398 牲禮 三牲
398 牲醴 三牲
399 三官大帝 三界公
399 三界公 三界公
399 三界爺 三界公
400 食蚊魚 三界娘仔
400 將魚 三界娘仔
401 山珍海味 山珍海味
402 昭和草 山苳蒿
403 低音 低音
404 乞丐 乞食
404 叫花子 乞食
405 外面 口面
405 外頭 口面
405 外邊 口面
406 口音 口音
406 腔 口音
406 腔調 口音
407 乞丐命 乞食命
408 不在乎 大面神
408 厚臉皮 大面神
408 厚顏無恥 大面神
409 月琴 乞食琴
410 乞丐頭子 乞食頭
410 丐頭 乞食頭
411 土匪 土匪
412 大房子 大厝
412 棺木 大厝
412 棺材 大厝
412 壽材 大厝
412 廣廈 大厝
413 大哥 大哥
413 老大 大哥
415 大姑子 大娘姑
416 戶頭 口座
416 帳戶 口座
417 技術工 土師
417 無師自通 土師
418 長孫 大孫
419 婆婆 大家
420 子宮 子宮
421 山崖 山崁
422 大家庭 大家口
422 大家族 大家口
423 公婆 大家官
424 子時 子時
425 上菜 上桌
425 赴宴 上桌
425 就席 上桌
426 口味 口氣
426 口氣 口氣
426 胃口 口氣
426 語氣 口氣
427 大氣 大氣
428 大口呼吸 大氣
429 哮喘 大氣喘
429 氣喘 大氣喘
429 痚喘 大氣喘
430 干涉 干涉
430 干預 干涉
430 介入 干涉
431 低級 低級
432 大群人 大陣
433 面具 小鬼仔殼
434 東扣西扣 三除四扣
435 上坡 上崎
435 爬坡 上崎
436 小土坡 山崙
436 小山丘 山崙
437 才能 才情
437 才華 才情
437 才幹 才情
437 本事 才情
437 能力 才情
437 能幹 才情
438 宗教合稱 三教
439 下午 下晝
440 下午 下晡
441 小鈔 小票
441 零鈔 小票
441 零錢 小票
442 三絃 三絃
443 大小 大細
443 尺寸 大細
444 大小眼 大細心
444 不公平 大細心
444 偏心 大細心
444 偏袒 大細心
445 大小眼 大細目
445 不公平 大細目
445 偏心 大細目
446 山頂 山頂
446 墓地 山頂
447 工場 工場
447 工廠 工場
448 大富 大富
449 極冷 大寒
449 嚴寒 大寒
450 大富大貴 大富大貴
451 大掃除 大摒掃
451 打掃 大摒掃
451 掃除清理 大摒掃
451 清潔 大摒掃
452 發霉 上殕
453 南部 下港
454 大河 大港
455 大浪 大湧
456 不巧 干焦
456 只有 干焦
456 故意 干焦
456 偏偏 干焦
456 僅僅 干焦
457 沒用 下痟
457 腎消 下痟
458 口琴 口琴
459 工程 工程
460 工程師 工程師
460 技術人員 工程師
461 上等 上等
461 高級 上等
462 大筒 大筒
462 營養針 大筒
462 點滴 大筒
463 稍等 小等
463 等一下 小等
464 土芭樂 土菝仔
464 芭樂 土菝仔
464 番石榴 土菝仔
465 上訴 上訴
467 大量 大量
468 撐開 弓開
469 也許 凡勢
469 不一定 凡勢
469 可能 凡勢
469 說不定 凡勢
470 山勢 山勢
471 不需細想 土想
471 不縝密 土想
472 今晚 下暗
472 夜晚 下暗
472 晚上 下暗
473 工會 工會
474 工業 工業
475 才會 才會
476 大水坑 山溝
476 山谷 山溝
476 山間水溝 山溝
476 山溝 山溝
476 山澗 山溝
477 山盟海誓 山盟海誓
478 下落 下落
478 去向 下落
478 去處 下落
479 一定 千萬
479 千萬 千萬
479 務必 千萬
479 絕對 千萬
479 萬萬 千萬
480 大腸 大腸
480 糯米腸 大腸
481 大舅 大舅
482 大腸 小腸
482 小腸 小腸
482 腸子 小腸
482 糯米腸 小腸
483 半山坡 山腰
483 半山腰 山腰
484 大肚子 大腹肚
484 懷孕 大腹肚
485 口試 口試
486 下面 下跤
486 底下 下跤
487 方言 土話
487 粗俗 土話
488 大話 大話
488 吹牛 大話
488 脹氣 大話
489 大山鼠 山貉
489 害鼠 山貉
489 鼠 山貉
490 山賊 山賊
491 山腳 山跤
492 下屬 下跤手人
492 手下 下跤手人
492 部下 下跤手人
492 部屬 下跤手人
492 屬下 下跤手人
493 蘿蔔腿 大跤胴
494 三角架 三跤馬
494 三腳架 三跤馬
495 三腳貓 三跤貓
495 半吊子 三跤貓
495 半瓶醋 三跤貓
495 技術人員 三跤貓
495 學徒 三跤貓
495 學藝未精 三跤貓
496 低能 低路
497 大方 大路
497 大路 大路
497 公路 大路
497 道路 大路
498 小徑 小路
498 小道 小路
499 大道公 大道公
499 吳真人 大道公
499 保生大帝 大道公
500 三餐 三頓
500 正餐 三頓
501 山嵐 山雺
502 大鼓 大鼓
503 大壽 大壽
503 棺木 大壽
504 年長的 大漢
504 長大 大漢
504 高大 大漢
505 胖 大箍
505 粗 大箍
506 痴肥 大箍呆
507 最快 上緊
508 大腿 大腿
509 股骨 大腿骨
510 非常 上蓋
510 最 上蓋
511 小說 小說
512 大冥紙 大銀
512 銀箔 大銀
513 小冥紙 小銀
513 銀箔 小銀
514 亡魂 亡魂
515 喜餅 大餅
515 禮餅 大餅
516 五花肉 三層
517 工寮 工寮
518 工場 工廠
518 工廠 工廠
519 五花肉 三層肉
520 大廣絃 大廣絃
520 胡琴 大廣絃
521 小數 小數
521 少數 小數
522 陀螺 干樂
523 酷暑 大熱
524 大方 大範
524 架子 大範
524 架勢 大範
524 派頭 大範
524 氣派 大範
525 山線 山線
526 林蔭大道 三線路
527 上課 上課
527 上學 上課
527 授課 上課
528 工作 工課
528 事情 工課
528 農事 工課
528 稼穡 工課
528 穡 工課
528 職業 工課
529 才能 才調
529 才華 才調
529 才幹 才調
529 本事 才調
529 本領 才調
529 能力 才調
529 能幹 才調
530 批發 大賣
531 零售商 小賣
532 山豬 山豬
532 野豬 山豬
533 小輩 下輩
533 後輩 下輩
533 晚輩 下輩
534 三輪車 三輪車
535 下巴 下頦
535 下顎 下頦
536 大學 大學
537 小學 小學
538 香蕉 弓蕉
539 香蕉水 弓蕉油
539 香蕉油 弓蕉油
540 山貓 山貓
540 狸子 山貓
540 狸貓 山貓
540 豹貓 山貓
540 野貓 山貓
541 口頭 口頭
542 山頂 山頭
542 墓地 山頭
543 工頭 工頭
543 領班 工頭
544 最早 上頭仔
544 最初 上頭仔
544 最前頭 上頭仔
545 大拇指 大頭拇
546 大脖子 大頷胿
546 甲狀腺腫 大頷胿
546 說話緊張 大頷胿
547 大頭菜 大頭菜
547 蕪菁 大頭菜
548 大戲 大戲
549 山 山嶺
549 山脈 山嶺
549 高山 山嶺
550 土芒果 土檨仔
551 至多 上濟
551 頂多 上濟
551 最多 上濟
552 上聲 上聲
553 大聲 大聲
553 小聲 大聲
553 輕聲 大聲
554 大膽 大膽
554 膽大 大膽
555 自以為是的話 大聲話
556 下回 下擺
556 下次 下擺
556 將來 下擺
557 小嬸子 小嬸
557 弟媳 小嬸
557 弟媳婦 小嬸
558 土雞 土雞仔
559 下巴 下顎
559 下顎 下顎
560 消遣 工藝
561 立志 下願
561 祈願 下願
561 許願 下願
561 發願 下願
562 大塊頭 大龐
563 麵 大麵
563 麵條 大麵
564 大棵 大欉
564 高大 大欉
564 魁梧 大欉
565 大廳 大廳
565 客廳 大廳
565 廳 大廳
565 廳堂 大廳
566 不 不
567 丑 丑
568 中 中
569 中 中
570 中 中
571 丹 丹
572 之 之
573 予 予
573 被 予
573 與 予
574 五 五
575 五 五
576 井 井
577 仁 仁
577 果實飽滿 仁
578 仄 仄
579 撲倒 仆
580 仇 仇
581 目前 今
581 如今 今
581 剛才 今
581 現今 今
581 現在 今
582 允 允
582 承諾 允
582 准 允
582 答應 允
583 內 內
583 裡 內
584 內 內
584 裡 內
585 公 公
585 雄 公
586 公 公
587 六 六
588 六 六
589 闊綽 冇
589 鬆軟 冇
590 稀疏的 冗
590 寬 冗
590 鬆 冗
590 鬆的 冗
591 充足 冗
591 多 冗
592 凶 凶
593 分 分
594 分 分
595 切 切
595 破 切
596 沿 勻
596 層 勻
596 輩 勻
597 縮 勼
598 勾 勾
599 內衣 內䘥仔
599 無袖內衣 內䘥仔
600 中人 中人
601 答應人 允人
602 不才 不才
602 我 不才
603 深山 內山
604 內涵 內才
605 分寸 分寸
605 節制 分寸
606 不三不四 不三不四
606 不倫不類 不三不四
606 不像樣 不三不四
606 沒水準 不三不四
607 不仁 不仁
608 中元 中元
608 中元節 中元
609 孤僻 五仁
609 風趣 五仁
609 笑話 五仁
609 插科打諢 五仁
609 滑稽 五仁
609 詼諧 五仁
610 仁丹 仁丹
611 外公 內公
611 老公公 內公
611 祖父 內公
611 爺爺 內公
612 公元 公元
612 西元 公元
613 平分 公分
614 公分 公分
615 徐徐地 勻勻仔
615 慢吞吞 勻勻仔
615 慢慢 勻勻仔
615 慢慢地 勻勻仔
615 慢慢兒 勻勻仔
615 緩慢地 勻勻仔
615 緩緩地 勻勻仔
615 謹慎小心 勻勻仔
616 小火 勻勻仔火
616 慢火 勻勻仔火
617 小火車 五分仔車
617 五分車 五分仔車
618 不中用 不中用
618 沒有用 不中用
619 小火車 五分車
619 五分車 五分車
620 不止 不止
620 不只 不止
620 不但 不止
621 中心 中心
622 井水 井水
623 內心 內心
624 公文 公文
625 公斤 公斤
626 大方 冇手
626 慷慨 冇手
627 郵花 切手
627 郵票 切手
628 收手 勼手
628 抽腳 勼手
628 抽腿 勼手
628 退卻 勼手
628 裹足 勼手
629 縮水 勼水
630 勾引 勾引
630 引誘 勾引
630 誘導 勾引
631 六月天 六月天
632 非常 不止仔
632 相當 不止仔
633 夏稻 六月冬
633 夏穫 六月冬
634 詩人節 五日節
634 端午節 五日節
635 五月節 五月節
635 詩人節 五月節
635 端午節 五月節
636 小丑 丑仔
637 方才 今仔
637 如今 今仔
637 剛才 今仔
637 剛剛 今仔
637 現在 今仔
638 今天 今仔日
638 今日 今仔日
639 不慌不忙 勻仔是
639 慢慢來 勻仔是
640 中古 中古
641 內外 內外
641 裡外 內外
642 五加皮 五加皮
643 內胎 內奶
644 公平 公平
644 公正 公平
645 雌雄 公母
646 公民 公民
647 中用 中用
647 有用 中用
648 不偏袒 中立
648 中立 中立
649 丹田 丹田
650 公用 公用
651 浮石 冇石仔
652 讓 予伊
653 在於 介在
654 公共 公共
655 六合 六合
656 今年 今年
656 本年 今年
657 內地 內地
658 凶年 凶年
658 荒年 凶年
658 歉歲 凶年
659 中旬 中旬
660 及早 冗早
660 從前 冗早
660 提早 冗早
660 趁早 冗早
661 不要臉 不死鬼
661 花心蘿蔔 不死鬼
662 內行 內行
663 行家 內行的
663 專家 內行的
664 不過 不而過
664 可是 不而過
664 但是 不而過
665 不只 不但
665 不但 不但
666 分配 分伻
666 分攤 分伻
667 分別 分別
667 差別 分別
667 區別 分別
668 不孝 不孝
668 不孝順 不孝
668 忤逆 不孝
669 不求人 不求人
669 如意 不求人
670 公里 公里
671 分身 分身
672 公事 公事
673 中和 中和
674 內底 內底
674 內面 內底
674 內部 內底
674 裡面 內底
675 公所 公所
676 不服 不服
677 分明 分明
677 明明 分明
678 不守法 不法
678 不法 不法
678 違法 不法
679 六法全書 六法全書
680 公的 公的
681 收養 分的
681 討 分的
681 養子女 分的
681 養父母 分的
682 五金 五金
683 五金行 五金行
684 中指 中指
685 內政 內政
686 糖醋魚 五柳居
687 中毒 中毒
688 丹毒 丹毒
690 分派 分派
691 八月半 中秋
691 八月節 中秋
691 中秋節 中秋
691 團圓節 中秋
692 內科 內科
693 八月半 中秋節
693 八月節 中秋節
693 中秋節 中秋節
693 團圓節 中秋節
694 中秋月餅 中秋餅
694 月餅 中秋餅
695 中計 中計
695 中圈套 中計
696 內衣 內衫
696 無袖內衣 內衫
697 中風 中風
697 腦中風 中風
697 腦充血 中風
697 腦溢血 中風
698 五香 五香
699 元首 元首
699 首領 元首
700 內底 內面
700 內面 內面
700 內部 內面
700 裡面 內面
701 允許 允准
701 准 允准
701 准許 允准
701 許可 允准
702 內衣 內套
702 無袖內衣 內套
703 上元 元宵
703 上元節 元宵
703 元宵 元宵
703 元宵節 元宵
