415,大娘姑,大姑子,名,大姑子。稱謂。已婚婦女對他人稱呼自己丈夫的姊姊。
416,口座,戶頭,名,帳戶、戶頭。在金融機構開一個存提款戶。源自日語。
417,土師,技術工,名,無師自通的技術工。
418,大孫,長孫,名,長孫。排行最大的孫子。
419,大家,婆婆,名,婆婆。稱謂。婦女對他人稱自己丈夫的母親。
420,子宮,子宮,名,雌性動物生殖器的主要部分。位於小骨盤內膀胱與直腸之間，以子宮頸與陰道相連，底部兩側與輸卵管相通，為胎兒發育的場所。
421,山崁,山崖,名,山崖。山陡直的側面。
422,大家口,大家庭,名,大家庭、大家族。人口數眾多的家庭、家族。
423,大家官,公婆,名,公婆。稱謂。指丈夫的父母親。
424,子時,子時,時,指晚上十一點到隔天凌晨一點的時間。
425,上桌,上菜,動,指客人就席赴宴。 
426,口氣,口味,名,說話的語氣。
427,大氣,大氣,名,包圍在地球外層的空氣，由許多種氣體混合成的，其中以氮、氧為主要的成分。
429,大氣喘,哮喘,動,哮喘、氣喘。一種呼吸困難的症狀。
430,干涉,干涉,動,插手管別人的事情。
431,低級,低級,形,比較低下的等級，相對於「高級」而言。
432,大陣,大群人,名,一大群人。
433,小鬼仔殼,面具,名,面具。
434,三除四扣,東扣西扣,熟,東扣西扣。指扣除的項目很多。 
435,上崎,上坡,動,上坡。
436,山崙,小土坡,名,指地勢較一般平原為高的小山丘。
437,才情,才能,名,指人的才華、本事、才能。
438,三教,宗教合稱,名,佛、儒、道三教的合稱。
439,下晝,下午,時,下午。
440,下晡,下午,時,下午。
441,小票,小鈔,名,零鈔。小面額的紙幣。
442,三絃,三絃,名,樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。
443,大細,大小,形,大小。指一般事物的尺寸大小。
444,大細心,大小眼,動,偏心。指人故意偏袒一方，對某一方存私心。
445,大細目,大小眼,形,本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。
446,山頂,山頂,名,山的最高點。
447,工場,工場,名,工廠。把原料製成製造品，或把半成品做成成品的製造場所。工廠裡通常有機器和工人。
448,大富,大富,名,表示非常富有的狀況。
